,local_time,date,latitude,longitude,depth,mag,magType,location
136,1974-08-25 00:48:45.800000+06:30,1974-08-25,25.811,96.242,33.0,4.7,mb,Kachin
137,1989-11-27 07:50:31.170000+06:30,1989-11-27,25.791,96.524,33.0,4.4,mb,Kachin
138,1993-01-23 16:09:28.930000+06:30,1993-01-23,25.79,95.662,108.7,4.5,mb,Sagaing
139,1983-04-30 23:58:48.370000+06:30,1983-04-30,25.784000000000002,96.545,39.6,4.7,mb,Kachin
140,1987-03-22 17:00:22.300000+06:30,1987-03-22,25.769000000000002,96.911,33.0,4.7,mb,Kachin
141,1979-08-01 15:28:29.400000+06:30,1979-08-01,25.73,95.115,155.0,4.6,mb,Sagaing
142,1988-08-07 19:34:12.340000+06:30,1988-08-07,25.706999999999997,95.21799999999999,33.0,4.4,mb,Sagaing
143,1978-03-30 07:17:24.600000+06:30,1978-03-30,25.693,96.32,33.0,4.2,mb,Kachin
144,2012-11-30 10:22:20.700000+06:30,2012-11-30,25.683000000000003,95.99799999999999,97.2,4.4,mb,Sagaing
145,2019-08-05 16:13:03.209000+06:30,2019-08-05,25.6762,96.6433,10.0,4.7,mb,Kachin
146,2010-06-23 08:27:33.240000+06:30,2010-06-23,25.673000000000002,95.12,87.6,4.0,mb,Sagaing
147,1992-06-10 20:11:24.950000+06:30,1992-06-10,25.66,96.758,33.0,4.7,mb,Kachin
148,2000-07-20 12:24:04.180000+06:30,2000-07-20,25.648000000000003,95.139,92.6,4.3,mb,Sagaing
149,1981-11-16 06:15:54.730000+06:30,1981-11-16,25.647,95.17399999999999,62.4,4.7,mb,Sagaing
150,1977-02-03 17:19:14.400000+06:30,1977-02-03,25.636999999999997,96.486,22.0,4.4,mb,Kachin
151,1989-01-27 22:44:48.260000+06:30,1989-01-27,25.621,95.214,61.8,4.3,mb,Sagaing
152,2012-01-06 11:58:55.460000+06:30,2012-01-06,25.613000000000003,96.963,51.2,4.4,mb,Kachin
153,2017-12-09 17:32:34.040000+06:30,2017-12-09,25.6097,96.3486,10.0,4.4,mb,Kachin
154,1987-11-29 02:55:56.630000+06:30,1987-11-29,25.607,95.93700000000001,33.0,4.4,mb,Sagaing
155,2005-10-22 20:15:20.400000+06:30,2005-10-22,25.568,96.05,102.8,5.0,mb,Kachin
156,2013-08-14 03:55:27.690000+06:30,2013-08-14,25.5549,96.2594,57.67,4.3,mb,Kachin
157,1988-01-05 04:08:08.920000+06:30,1988-01-05,25.554000000000002,95.654,84.3,3.4,mb,Sagaing
158,1985-02-17 06:54:24.190000+06:30,1985-02-17,25.544,95.25,91.3,4.8,mb,Sagaing
159,1997-09-08 23:35:05.020000+06:30,1997-09-08,25.543000000000003,96.64200000000001,33.0,3.8,mb,Kachin
160,1994-11-21 14:46:34.070000+06:30,1994-11-21,25.54,96.65700000000001,14.0,5.9,mw,Kachin
161,1996-09-14 08:54:49.840000+06:30,1996-09-14,25.514,96.645,33.0,4.5,mb,Kachin
162,1981-08-26 04:58:14.950000+06:30,1981-08-26,25.511999999999997,96.552,33.0,3.9,mb,Kachin
163,1981-08-16 12:57:59.660000+06:30,1981-08-16,25.506999999999998,96.647,38.3,4.6,mb,Kachin
164,1981-08-17 01:25:41.770000+06:30,1981-08-17,25.489,96.619,36.6,5.1,mb,Kachin
165,1977-02-06 01:11:38.900000+06:30,1977-02-06,25.48,96.56299999999999,57.0,4.4,mb,Kachin
166,2002-12-14 07:29:06.770000+06:30,2002-12-14,25.48,96.917,33.0,3.6,mb,Kachin
167,1983-09-24 02:48:01.810000+06:30,1983-09-24,25.478,95.709,33.0,5.2,mb,Sagaing
168,2004-02-19 15:41:42.920000+06:30,2004-02-19,25.474,96.773,45.3,4.8,mb,Kachin
169,2005-02-22 05:37:05.720000+06:30,2005-02-22,25.473000000000003,95.01899999999999,76.3,4.2,mb,Sagaing
170,1990-03-09 02:31:08.680000+06:30,1990-03-09,25.471,96.54700000000001,33.0,4.1,mb,Kachin
171,2012-09-23 03:12:48.230000+06:30,2012-09-23,25.459,96.682,42.8,4.6,mb,Kachin
172,1982-05-18 05:47:49.570000+06:30,1982-05-18,25.456,95.045,65.0,4.6,mb,Sagaing
